company_name,review_date,review_title,review_body_text,overall_review_rating,job_title,location,employee_flag,rating_work_life_balance,rating_compensation_benefits,rating_job_security_advancement,rating_management,rating_culture_values,pros_text,cons_text,page_number,start_offset,source_url
United Overseas Bank,25 February 2025,Staff Experience,"Poor management and leadership, with a lack of recognition for employees who go above and beyond their regular duties. During bonus and increment cycles, staff handling only BAU tasks often receive higher total compensation than those who take on additional responsibilities. Moreover, there is a lack of transparency in the compensation distribution process. Favoritism from both leadership and HRBP influences career growth, resulting in the same individuals receiving promotions every 2–3 years, while others are overlooked. Despite implementing 360-degree feedback and the Employee Engagement Survey (EES), employee concerns remain unaddressed. The work environment is highly political and toxic, with poor work-life balance. The recent acquisition of Citi’s business appears to have been poorly managed, leading to a hiring freeze post-merger. As a result, employees are now handling workloads far beyond their capacity, yet compensation remains minimal, with low increments and bonuses. While it is understandable that the bank must demonstrate profitability to shareholders, it is crucial to acknowledge the efforts of employees who drive this success.",1,Senior Executive,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
Cimb-Group,24 February 2025,Good place to start your finance entry level career,"Good benefits such as maternity, healthcare, dental, optical, etc. Environment health depends on your manager and other staffs. Good start to learn to be a banker. Incentives are small compared to other banks.",3,PFC,Sarawak,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
Cimb-Group,17 February 2025,fun workplace,"fun, nice, chill workplace, sometimes stressful, Good for Union Staff (Low Rank Position Fixed annual increment and salary adjustment every year, however amount is small",3,Admin,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Cimb-Group/reviews
Public-Bank-Berhad,14 February 2025,no work life balance,not recommended for those who didnt know handle their stress. they can be crazy to meet up their kpi. those fresh graduate who want to work here need to have strong physical and mental to sustain in a long run.,3,Senior Exec,Maluri,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews?start=20
Bank-Rakyat,13 February 2025,Good,"During my internship at Bank Rakyat, I had the opportunity to gain practical experience in one of Malaysia's leading cooperative banks. I was involved in various aspects of banking operations, such as customer service, handling financial products, and administrative support. This experience allowed me to enhance my communication, teamwork, and problem-solving skills while learning from experienced professionals. It provided me with valuable insights into the cooperative banking sector and contributed significantly to my personal and professional development.",5,Executive,Kuala lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/Bank-Rakyat/reviews
United Overseas Bank,11 February 2025,Great company to work for,Good company to work for. Great benefits and team. Sufficient AL provided. Unlimited health benefits. Flex care provided with more than 10 categories claimable,4,Senior Officer,Kuala Lumpur,current,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
Public-Bank-Berhad,9 February 2025,Good pay,"Good pay and bonus. Team members also nice . But in sale, have to deal with a lot of pressure. Everything is manual and use a lot of paper. Good for fresh graduate to take experience",3,Sale Executive,Perak,former,0,0,0,0,0,,,2,20,https://malaysia.indeed.com/cmp/Public-Bank-Berhad/reviews?start=20
maybank,6 February 2025,Ok,Good environment good workplace excellent customer care service able to deliver customer satisfaction with care. Career enhancing and good vibes. Really enjoyed,5,Executive,Shah Alam,current,5,5,5,5,5,No,No,1,0,https://malaysia.indeed.com/cmp/Malayan-Banking-Berhad-(maybank)/reviews
United Overseas Bank,6 February 2025,Great environment but poor management,"Colleagues are supportive and helpful but management is poor. Impose very strict and lousy rules and most of the time, very pushy and keep forcing staffs to perform OTs.",3,Banking Officer,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
United Overseas Bank,4 February 2025,A bit challenging,fun workplace if got some friends shift schedule rotate every two weeks good team leader training sometime not enough time good salary and benefit OT they paid salary on time,4,customer service officer,Kuala Lumpur,former,0,0,0,0,0,,,1,0,https://malaysia.indeed.com/cmp/United-Overseas-Bank/reviews
